make,name,battery,real_range,efficiency,charge_power,drive,seats,tow_hitch,top_speed,acceleration,value
VOLVO,EC40 Single Motor ER,79.0,420,188,630,RWD,5,True,180,7.3,57190
CUPRA,Born VZ,79.0,460,172,690,RWD,4,False,160,5.7,50000
VOLKSWAGEN,ID.3 GTX,79.0,460,172,690,RWD,4,False,180,6.0,50000
AUDI,Q4 e-tron 55 quattro,77.0,395,195,590,AWD,5,True,180,5.4,59000
PEUGEOT,e-208 51 kWh,48.1,310,155,480,FWD,5,False,150,8.2,40325
VINFAST,VF 9 Extended Range,123.0,520,237,520,AWD,7,False,200,6.5,89790
MERCEDES-BENZ,EQB 300 4MATIC,66.5,345,193,500,AWD,7,True,160,8.0,55519
SKODA,Enyaq 85x,77.0,440,175,660,AWD,5,True,180,6.6,51150
KIA,e-Soul 64 kWh,64.0,370,173,350,FWD,5,True,167,7.9,47450
RENAULT,Kangoo E-Tech Electric,45.0,220,205,230,FWD,5,True,132,12.6,39300
MASERATI,Grecale Folgore,95.0,400,238,440,AWD,5,True,220,4.1,124301
POLESTAR,3 Long Range Dual motor,107.0,490,218,640,AWD,5,True,210,5.0,85590
LOTUS,Eletre R,109.0,455,240,950,AWD,5,True,260,2.9,151990
NIO,EL7 100 kWh,90.0,430,209,450,AWD,5,True,200,3.9,94900
CITROEN,e-C4 X,46.3,285,162,460,FWD,5,False,150,9.7,37540
VOLVO,EX40 Single Motor,67.0,345,194,530,RWD,5,True,180,7.3,49990
XPENG,P7 Wing Edition,82.7,455,182,730,AWD,5,False,200,4.1,69600
SKODA,Enyaq Coupe RS,77.0,455,169,680,AWD,5,True,180,5.5,63300
FORD,Mustang Mach-E SR RWD,72.6,380,191,460,RWD,5,True,180,7.3,55800
AUDI,Q4 Sportback e-tron 45,77.0,435,177,650,RWD,5,True,180,6.7,54950
VOLVO,EX40 Twin Motor,79.0,385,205,570,AWD,5,True,180,4.8,59590
SSANGYONG,Korando e-Motion,56.0,290,193,330,FWD,5,True,156,8.5,40490
SMART,#1 Pro,47.0,250,188,320,RWD,5,False,180,6.7,37490
AUDI,SQ6 e-tron,94.9,445,213,890,AWD,5,True,230,4.3,93800
SERES,3,51.0,260,196,240,FWD,5,False,155,8.9,20376
VOLVO,EX90 Twin Motor,107.0,465,230,610,AWD,7,True,180,5.9,91700
BMW,i7 eDrive50,101.7,520,196,780,RWD,5,False,205,5.5,115700
MINI,Cooper E,36.8,230,160,350,FWD,4,False,160,7.3,32900
AUDI,Q4 e-tron 45 quattro,77.0,395,195,590,AWD,5,True,180,6.6,54950
OPEL,Corsa Electric 51 kWh,48.1,315,153,490,FWD,5,False,150,8.1,38045
BMW,i5 eDrive40 Touring,81.2,455,178,730,RWD,5,True,193,6.1,72200
MERCEDES-BENZ,EQS 450 4MATIC,108.4,610,178,910,AWD,5,True,210,5.6,113359
HONGQI,E-HS9 84 kWh,76.5,320,239,440,AWD,5,True,200,6.5,37538
MG,Marvel R Performance,70.0,350,200,380,AWD,5,True,200,4.9,50990
RENAULT,Scenic E-Tech EV60 170hp,60.0,340,176,400,FWD,5,True,150,8.6,41400
RENAULT,Megane E-Tech EV60 130hp,60.0,380,158,530,FWD,5,True,150,10.5,47000
SMART,#3 Premium,62.0,355,175,550,RWD,5,True,180,5.8,46490
FIAT,500e Hatchback 24 kWh,21.3,135,158,230,FWD,4,False,135,9.0,30990
RENAULT,Megane E-Tech EV40 130hp,40.0,260,154,370,FWD,5,True,150,10.0,42000
GENESIS,GV60 Premium,74.0,390,190,1020,RWD,5,True,185,7.8,64478
LOTUS,Emeya,100.0,530,189,1230,AWD,5,False,250,4.2,106400
OPEL,Astra Sports Tourer Electric,50.8,310,164,500,FWD,5,True,170,9.3,43490
XPENG,P7 RWD Long Range,82.7,495,167,800,RWD,5,False,200,6.7,49600
MERCEDES-BENZ,EQS SUV 450+,118.0,540,219,680,RWD,7,True,210,6.8,110801
RENAULT,5 E-Tech 40kWh 120hp,40.0,260,154,340,FWD,5,True,140,9.0,28000
FORD,Mustang Mach-E GT,91.0,425,214,380,AWD,5,True,200,3.7,77300
BMW,i7 M70 xDrive,101.7,490,208,730,AWD,5,False,250,3.7,181800
PEUGEOT,e-308 SW,50.8,300,169,450,FWD,5,False,150,10.0,45765
XPENG,G6 AWD Performance,87.5,480,182,960,AWD,5,True,200,4.1,60000
MERCEDES-BENZ,EQS SUV Maybach 680,118.0,490,241,620,AWD,4,True,210,4.4,200634
PEUGEOT,e-2008 50 kWh,46.3,270,171,430,FWD,5,False,150,9.9,38600
NISSAN,Townstar EV Passenger,45.0,225,200,230,FWD,5,True,132,12.6,39990
AUDI,SQ8 e-tron,106.0,455,233,570,AWD,5,True,210,4.5,95800
FORD,Explorer Standard Range RWD,52.0,280,186,350,RWD,5,True,160,9.0,42500
PORSCHE,Taycan Turbo GT Weissach,97.0,475,204,1050,AWD,2,False,305,2.2,240000
GWM,ORA 3 63 kWh,59.3,340,174,290,FWD,5,False,160,8.2,44490
MG,MG5 Electric Standard Range,46.0,265,174,320,FWD,5,True,185,7.7,35490
MERCEDES-BENZ,EQS SUV 580 4MATIC,118.0,530,223,670,AWD,7,True,210,4.7,147923
LUCID,Air Pure RWD,92.0,565,163,940,AWD,5,False,200,4.7,85000
VOLVO,EC40 Single Motor,67.0,360,186,560,RWD,5,True,180,7.3,52690
PORSCHE,Taycan 4S Plus,97.0,550,176,1210,AWD,5,False,250,3.7,126422
SKODA,Enyaq Coupe 85x,77.0,470,164,700,AWD,5,True,180,6.6,53400
SMART,#3 Pro,47.0,265,177,340,RWD,5,False,180,5.9,38490
MINI,Countryman SE ALL4,64.7,370,175,500,AWD,5,True,180,5.6,49500
DS,3 E-Tense,50.8,300,169,480,FWD,5,False,150,9.0,40540
VOLVO,EX90 Twin Motor Performance,107.0,450,238,590,AWD,7,True,180,4.9,96800
LEXUS,UX 300e,64.0,340,188,170,FWD,5,False,160,7.5,56810
