make,name,battery,real_range,efficiency,charge_power,drive,seats,tow_hitch,top_speed,acceleration,value
BYD,DOLPHIN 44.9 kWh Boost,44.9,255,176,260,FWD,5,False,160,8.0,30000
GWM,ORA 3 GT,59.3,325,182,280,FWD,5,False,160,8.2,49490
MERCEDES-BENZ,EQS SUV 500 4MATIC,118.0,530,223,670,AWD,7,True,210,5.3,124545
MERCEDES-BENZ,eVito Tourer Long 90 kWh,90.0,320,281,320,FWD,8,False,160,12.1,72043
MERCEDES-BENZ,EQE SUV AMG 43 4MATIC,90.6,415,218,620,AWD,5,True,210,4.3,124920
PORSCHE,Taycan 4S Cross Turismo,97.0,505,192,1110,AWD,5,False,240,3.8,126400
PORSCHE,Taycan Turbo,97.0,520,187,1140,AWD,5,False,260,2.7,175600
GENESIS,GV60 Sport,74.0,380,195,990,AWD,5,True,200,5.5,63200
SKODA,Enyaq Coupe 60,58.0,355,163,480,RWD,5,True,160,8.8,46850
KIA,e-Soul 39.2 kWh,39.2,230,170,200,FWD,5,False,157,9.9,39323
AIWAYS,U6,60.0,350,171,430,FWD,5,False,160,7.0,47588
ELARIS,BEO 86 kWh,81.0,390,208,290,FWD,5,False,150,8.0,53090
PEUGEOT,e-5008 73 kWh Dual Motor,73.0,365,200,420,AWD,7,True,170,6.0,55000
PORSCHE,Taycan Turbo S Cross Turismo,97.0,475,204,1050,AWD,5,False,250,2.5,211300
NIO,ET5 Touring 75 kWh,70.5,385,183,570,AWD,5,True,200,4.0,59500
VOLKSWAGEN,ID. Buzz LWB Pro,77.0,335,230,460,RWD,7,True,160,7.9,70000
PORSCHE,Taycan 4S Sport Turismo,82.3,430,191,950,AWD,5,False,250,3.7,121800
NIO,EL7 75 kWh,70.5,340,207,510,AWD,5,True,200,3.9,85900
PORSCHE,Taycan Sport Turismo,82.3,445,185,980,RWD,5,False,230,4.8,102400
PORSCHE,Taycan Plus Sport Turismo,97.0,515,188,1130,RWD,5,False,230,4.8,108124
SMART,#1 Pulse,62.0,325,191,500,AWD,5,True,180,4.5,46490
VINFAST,VF 8 Plus Extended Range,87.7,425,206,550,AWD,5,False,200,5.5,58890
PORSCHE,Taycan Turbo S Sport Turismo,97.0,460,211,1010,AWD,5,False,260,2.4,210800
NIO,EL6 75 kWh,70.5,350,201,520,AWD,5,True,200,4.5,65500
FIAT,500e Cabrio 24 kWh,21.3,135,158,230,FWD,4,False,135,9.0,35490
MERCEDES-BENZ,EQV 250 Extra-Long,60.0,210,286,200,FWD,7,False,160,12.0,76217
GENESIS,GV60 Sport Plus,74.0,365,203,950,AWD,5,True,235,4.0,73100
ABARTH,500e Convertible,37.8,225,168,370,FWD,4,False,155,7.0,40990
PORSCHE,Taycan 4S Plus Sport Turismo,97.0,495,196,1090,AWD,5,False,250,3.7,127322
PORSCHE,Taycan Turbo Sport Turismo,97.0,470,206,1030,AWD,5,False,260,2.7,176600
FIAT,500e 3+1 24 kWh,21.3,135,158,230,FWD,4,False,135,9.0,16619
PORSCHE,Taycan Turbo Cross Turismo,97.0,495,196,1090,AWD,5,False,250,2.8,177000
MERCEDES-BENZ,EQV 250 Long,60.0,215,279,200,FWD,7,False,160,12.0,75282
MERCEDES-BENZ,eVito Tourer Long 60 kWh,60.0,220,273,210,FWD,8,False,160,12.0,68398
MERCEDES-BENZ,eVito Tourer Extra-Long 60 kWh,60.0,215,279,200,FWD,8,False,160,12.0,69309
KGM,Torres EVX,72.0,350,206,390,FWD,5,True,175,8.1,43990
MINI,Aceman E,38.5,230,167,370,FWD,5,False,160,7.9,37000
MINI,Aceman SE,49.8,300,166,430,FWD,5,False,170,7.1,40000
